number,l1_t,l1_s,model_height,lon,lat
mh0,31.766949,5.0933456,700,-171.4768340942662,77.44887555543262
mh1,131.56781,19.027304,1100,-159.7481762789487,74.91002728462932
mh2,336.51953,17.522243,1600,-163.497078650981,75.07550516703235
mh3,37.87453,10.170832,700,-162.685670379647,75.68327462297884
mh4,47.89167,24.01876,600,-160.2477553098041,76.13532942472185
mh5,18.032085,29.726593,700,-162.8260725544345,76.11736884039644
mh6,26.944336,21.802866,1000,-160.1227966295521,76.91124776901582
mh7,624.10815,29.6584,2100,-158.8293575325748,78.07160202705575
mh12,216.5452,13.421379,2200,-172.8559884176679,78.79476298569516
mh13,512.76385,10.971916,1100,-175.1425816845177,50.2837642142147
mh14,228.59839,5.0216866,900,-175.1665551613758,50.09348894716371
mh15,137.01454,7.228383,1200,-178.1978585493631,48.67540778389483
mh16,171.65764,6.6558795,1000,-176.4002259778837,48.35226957455991
mh17,71.345055,4.7762637,1200,-177.3584772998155,46.95369312811483
mh18,183.024,10.133887,1000,-179.5086387223011,49.27759072184717
mh19,116.046745,6.400242,700,-174.7149240061002,49.9517637763396
mh20,161.38766,5.0743346,1400,-174.4422346679405,49.65777982997174
mh21,129.42308,6.150342,900,-175.4026273496356,49.4889606333114
mh22,68.98832,5.688733,900,-174.7714527608463,47.00749061133163
mh23,61.301674,2.681284,900,-173.9352763201761,45.84156191354495
mh24,98.14479,3.726825,1200,-173.9597422444884,45.3914153060779
mh25,252.12524,9.594106,1200,-176.933979650663,43.59011735319597
mh26,322.43076,12.682223,1700,-176.9381610191499,43.7488903616646
mh27,249.2871,12.376614,1300,-176.9436968672883,43.94959696563134
mh28,198.0679,8.111562,1100,-177.0076064242303,44.13317186565487
mh29,228.98714,13.2205925,1100,-176.9585484288039,44.44416964159579
mh30,105.23745,3.5774608,1000,-179.7528693374646,43.95221692562713
mh31,64.01096,2.9296217,900,-179.1824561279676,45.39566656852625
mh32,97.65071,2.841397,1000,-179.7405172461487,45.75005686310042
mh33,169.29692,8.811651,700,-178.2244756169628,46.36301392743125
mh34,139.54321,5.882373,1100,-178.9052314585139,46.27357319439467
mh35,116.21687,6.365404,1300,-179.0216007231236,46.85187130543433
mh36,148.00989,6.394854,1000,-177.5475468380836,46.15269314252914
mh37,72.93154,4.22377,1000,-179.4599606400287,47.53542506604113
mh38,135.68106,6.473992,900,-179.4215572598967,48.03336579361555
mh39,89.49387,3.9246924,1000,-179.1801092834709,48.3066458257027
mh40,102.70009,4.744071,1000,-177.9009370618789,48.27096615086825
mh41,176.9137,7.5051,1100,-179.9321179397911,49.26625112859033
mh42,184.86421,8.676734,1300,-177.0851867549375,48.98957509821462
mh43,179.2328,6.2064476,1200,-174.3998248655128,43.69126851249548
